source_rack,target_rack,source_row,source_col,target_row,target_col,manhattan_distance,euclidean_m,source_delta_power_W,delta_inlet_K,delta_inlet_K_per_kW
0,0,0,0,0,0,0,1.2,13933.785115954011,0.19149604788702845,0.01374328987374492
0,1,0,0,0,1,1,1.3416407864998738,13933.785115954011,0.15641404407216086,0.011225524347513349
0,2,0,0,0,2,2,1.697056274847714,13933.785115954011,0.1122720571566731,0.00805754188272381
0,3,0,0,0,3,3,2.1633307652783933,13933.785115954011,0.07791715745728567,0.005591959170381599
0,4,0,0,0,4,4,2.6832815729997477,13933.785115954011,0.053794897038027756,0.00386075259452891
0,5,0,0,0,5,5,3.2310988842807022,13933.785115954011,0.037058614538679535,0.002659622940233798
0,6,0,0,0,6,6,3.794733192202055,13933.785115954011,0.02540736847077696,0.0018234362206207585
0,7,0,0,0,7,7,4.368065933568311,13933.785115954011,0.01728189904689259,0.0012402874669787344
0,8,0,0,0,8,8,4.947726750741193,13933.785115954011,0.011634686243660042,0.0008349982540163096
0,9,0,0,0,9,9,5.531726674375733,13933.785115954011,0.007746153314172943,0.000555925992091244
0,10,0,0,0,10,10,6.118823416311342,13933.785115954011,0.005108302711118284,0.0003666127092249572
0,11,0,0,0,11,11,6.7082039324993685,13933.785115954011,0.0033521059516203877,0.00024057396635048347
0,12,0,0,0,12,12,7.299315036357863,13933.785115954011,0.002198097207532612,0.00015775305771120426
0,13,0,0,0,13,13,7.891767862779543,13933.785115954011,0.0014125044824453425,0.00010137263282667122
0,14,0,0,0,14,14,8.485281374238568,13933.785115954011,0.0007902647328741352,5.671572557619623e-05
0,15,0,0,0,15,15,9.079647570252932,13933.785115954011,0.00024513873200504577,1.7593118450231085e-05
0,16,0,0,0,16,16,9.674709297958259,13933.785115954011,-0.00019448364870200407,-1.3957704032576382e-05
0,17,0,0,0,17,17,10.270345661174213,13933.785115954011,-0.0005036873858657032,-3.614864027786587e-05
0,18,0,0,0,18,18,10.866462165764899,13933.785115954011,-0.00067644071675943,-4.854680269074293e-05
0,19,0,0,0,19,19,11.462983904725679,13933.785115954011,-0.0007163685224611527,-5.1412341764975236e-05
0,20,0,0,1,0,1,2.4,13933.785115954011,0.10867724409992263,0.00779954931093982
0,21,0,0,1,1,2,2.473863375370596,13933.785115954011,0.09764508708953201,0.00700779337968472
0,22,0,0,1,2,3,2.6832815729997477,13933.785115954011,0.08069012705633227,0.005790969674416974
0,23,0,0,1,3,4,3.0,13933.785115954011,0.0627352587220642,0.004502384542318879
0,24,0,0,1,4,5,3.394112549695428,13933.785115954011,0.04685331187964792,0.0033625688561826216
0,25,0,0,1,5,6,3.8418745424597094,13933.785115954011,0.0340711015453401,0.0024452150841862137
0,26,0,0,1,6,7,4.326661530556787,13933.785115954011,0.024307648977607954,0.0017445115433692168
0,27,0,0,1,7,8,4.8373546489791295,13933.785115954011,0.017088674188560304,0.0012264201038233312
0,28,0,0,1,8,9,5.366563145999495,13933.785115954011,0.011879220783360012,0.000852548010788429
0,29,0,0,1,9,10,5.909314681077663,13933.785115954011,0.00819877443981909,0.0005884097086032707
0,30,0,0,1,10,11,6.4621977685614045,13933.785115954011,0.005643308353551646,0.0004050089983869586
0,31,0,0,1,11,12,7.022819946431775,13933.785115954011,0.0038734798421060646,0.00027799193183128526
0,32,0,0,1,12,13,7.58946638440411,13933.785115954011,0.0026064228798716726,0.00018705777778123985
0,33,0,0,1,13,14,8.160882305241266,13933.785115954011,0.0016557345091889886,0.00011882876730266158
0,34,0,0,1,14,15,8.73613186713662,13933.785115954011,0.0009300790510842205,6.674992066723431e-05
0,35,0,0,1,15,16,9.314504817756013,13933.785115954011,0.00037702380341997355,2.705824729479185e-05
0,36,0,0,1,16,17,9.895453501482386,13933.785115954011,-3.357095730649462e-05,-2.4093207285116153e-06
0,37,0,0,1,17,18,10.478549517943788,13933.785115954011,-0.0003190472124998678,-2.289738286078222e-05
0,38,0,0,1,18,19,11.063453348751464,13933.785115954011,-0.0004943103830150619,-3.5475671463390276e-05
0,39,0,0,1,19,20,11.649892703368558,13933.785115954011,-0.0005775777531020765,-4.145160473594193e-05
